STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/26/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/27/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/28/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/29/2022,104,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/30/2022,104,",,S",82,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,5/31/2022,103,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/1/2022,102,",,S",76,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/2/2022,104,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/3/2022,104,",,S",79,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/4/2022,104,",,S",75,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/5/2022,107,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/6/2022,107,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/7/2022,105,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/8/2022,105,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/9/2022,102,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/10/2022,102,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/11/2022,99,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,6/12/2022,99,",,S",,
